Title,Avg rating,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type
Steam,7.56,29.99,2009,3.46,3,5,90,90,10,Strategy
T.I.M.E Stories,7.4,40.76,2015,2.59,2,4,90,90,12,Thematic
Lewis & Clark: The Expedition,7.45,49.99,2013,3.33,1,5,120,120,14,Strategy
Bora Bora,7.56,199.99,2013,3.73,2,4,60,120,12,Strategy
Kingdomino,7.31,17.43,2016,1.22,2,4,15,25,8,Family
Arcadia Quest,7.62,99.99,2014,2.53,2,4,60,60,13,Thematic
Battle Line,7.41,28.88,2000,1.89,2,2,30,30,12,Strategy
Forgotten Waters,7.85,58.86,2020,2.11,3,7,120,240,14,Thematic
Rococo,7.58,41.57,2013,3.08,2,5,60,120,12,Strategy
Anno 1800: The Board Game,7.75,49.11,2020,3.16,2,4,120,120,12,Strategy
Dixit: Odyssey,7.41,20.99,2011,1.17,3,12,30,30,8,Party
Cryptid,7.46,28.04,2018,2.24,3,5,30,50,10,Family
Seasons,7.36,60.3,2012,2.78,2,4,60,60,14,Strategy
Ethnos,7.46,27.2,2017,2.04,2,6,45,60,14,Strategy
Hive,7.32,42.78,2000,2.32,2,2,20,20,9,Abstract
Return to Dark Tower,8.3,287.59,2022,2.65,1,4,100,120,10,Thematic
Imperial,7.6,53.95,2006,3.56,2,6,120,180,13,Strategy
The Manhattan Project: Energy Empire,7.75,118.9,2016,3.04,1,5,60,120,13,Strategy
Monikers,7.78,24.99,2015,1.08,4,16,30,60,17,Party
Star Realms: Frontiers,7.95,33.95,2018,1.87,1,4,20,45,12,Strategy
Marvel United,7.6,16.99,2020,1.83,1,4,40,40,14,Family
Indonesia,7.88,102.09,2005,3.99,2,5,180,240,14,Strategy
Dice Throne: Season Two,8.08,209.31,2018,2.14,2,6,20,40,8,Family
Cthulhu Wars,7.86,208.99,2015,3.15,2,4,90,120,14,Strategy
Navegador,7.54,129.99,2010,3.08,2,5,60,90,12,Strategy
